Unnamed: 0,time,t,fricv,shtfl,sp,u10,v10
0.0,2021-01-01 00:00:00,272.05746,0.05,-3.0,98550.0,-0.59581375,-1.4549541
1.0,2021-01-01 01:00:00,272.9375,0.03,-1.0,98650.0,-0.17689705,-0.8997078
2.0,2021-01-01 02:00:00,273.1494,0.11,-2.0,98690.0,-0.026844025,-1.6560764
3.0,2021-01-01 03:00:00,272.88943,0.16,1.0,98680.0,-1.3232651,-1.6408997
4.0,2021-01-01 04:00:00,272.7824,0.22,6.0,98710.0,-2.1508522,-1.9393425
5.0,2021-01-01 05:00:00,272.4798,0.23,3.0,98700.0,-2.3990326,-1.9371338
6.0,2021-01-01 06:00:00,272.5857,0.24,13.0,98700.0,-2.6184044,-1.7218685
7.0,2021-01-01 07:00:00,272.48444,0.22,12.0,98720.0,-2.6233044,-1.2255001
8.0,2021-01-01 08:00:00,272.36682,0.28,14.0,98690.0,-3.2738323,-1.6847687
9.0,2021-01-01 09:00:00,271.93463,0.28,2.0,98690.0,-3.3247738,-1.8046875
10.0,2021-01-01 10:00:00,271.74054,0.29,5.0,98600.0,-3.30719,-2.0357723
11.0,2021-01-01 11:00:00,271.85336,0.33,0.0,98520.0,-3.79422,-2.1130695
12.0,2021-01-01 12:00:00,271.44824,0.28,-23.0,98510.0,-3.4418373,-1.9818516
13.0,2021-01-01 13:00:00,271.27716,0.21,-14.0,98480.0,-2.8880463,-0.9679775
14.0,2021-01-01 14:00:00,272.02765,0.26,-10.0,98380.0,-3.3159313,-1.4025297
15.0,2021-01-01 15:00:00,273.54507,0.31,8.0,98290.0,-4.0678883,-0.63505554
16.0,2021-01-01 16:00:00,274.23523,0.3,15.0,98170.0,-3.955904,0.30532265
17.0,2021-01-01 17:00:00,274.5938,0.33,24.0,97970.0,-4.228758,-0.68116665
18.0,2021-01-01 18:00:00,275.29193,0.35,30.0,97850.0,-4.4420986,-1.0755272
19.0,2021-01-01 19:00:00,275.4024,0.31,26.0,97670.0,-3.3154955,-2.3298912
20.0,2021-01-01 20:00:00,274.9136,0.35,-24.0,97520.0,-4.892194,-0.0037908554
21.0,2021-01-01 21:00:00,275.20667,0.34,-21.0,97400.0,-4.3075294,1.6182814
22.0,2021-01-01 22:00:00,275.55823,0.21,-16.0,97240.0,-3.029091,0.7158413
23.0,2021-01-01 23:00:00,275.9765,0.04,-2.0,97080.0,-1.3547802,0.28323936
24.0,2021-01-02 00:00:00,272.252,0.04,-5.0,97010.0,-1.302825,0.44202423
25.0,2021-01-02 01:00:00,273.93134,0.03,-3.0,96960.0,-0.41781235,-1.1105013
26.0,2021-01-02 02:00:00,275.44092,0.05,-4.0,96790.0,-1.7150068,-0.0528574
27.0,2021-01-02 03:00:00,275.47324,0.06,-7.0,96660.0,-1.4982977,1.352109
28.0,2021-01-02 04:00:00,276.84702,0.12,-18.0,96590.0,-1.8294563,2.0392742
29.0,2021-01-02 05:00:00,279.24396,0.27,-53.0,96510.0,1.1219864,4.008765
30.0,2021-01-02 06:00:00,281.32516,0.43,-84.0,96540.0,4.4787054,4.057377
31.0,2021-01-02 07:00:00,282.12305,0.48,-55.0,96630.0,6.1109324,2.2082577
32.0,2021-01-02 08:00:00,281.0691,0.57,-67.0,96790.0,7.238412,2.5914812
33.0,2021-01-02 09:00:00,280.4948,0.52,-49.0,96880.0,6.3713512,3.1407957
34.0,2021-01-02 10:00:00,279.5617,0.52,-84.0,96990.0,6.7932606,2.1434402
35.0,2021-01-02 11:00:00,279.38406,0.42,-40.0,97100.0,4.9435205,2.8227005
36.0,2021-01-02 12:00:00,278.78836,0.38,-43.0,97240.0,4.575798,2.5157986
37.0,2021-01-02 13:00:00,278.8747,0.38,-29.0,97380.0,4.7163677,2.089221
38.0,2021-01-02 14:00:00,278.93787,0.41,-14.0,97520.0,5.435051,1.1331263
39.0,2021-01-02 15:00:00,278.2425,0.37,10.0,97600.0,4.7406483,-1.1026955
40.0,2021-01-02 16:00:00,279.16373,0.34,34.0,97600.0,4.4295177,-0.046375275
41.0,2021-01-02 17:00:00,279.27512,0.32,17.0,97580.0,4.115204,-0.44918442
42.0,2021-01-02 18:00:00,278.807,0.31,19.0,97570.0,3.8398972,-0.96714973
43.0,2021-01-02 19:00:00,278.61816,0.26,20.0,97570.0,2.9008121,-1.7818508
44.0,2021-01-02 20:00:00,278.69678,0.18,23.0,97640.0,1.9234238,-1.1018314
45.0,2021-01-02 21:00:00,277.93646,0.1,14.0,97760.0,0.87151337,-0.71733284
46.0,2021-01-02 22:00:00,277.48456,0.08,1.0,97790.0,0.5119114,-0.89769936
47.0,2021-01-02 23:00:00,277.32736,0.17,2.0,97760.0,-0.8222189,-2.0846405
48.0,2021-01-03 00:00:00,272.24677,0.09,-13.0,97740.0,-1.7939987,-1.982954
49.0,2021-01-03 01:00:00,274.88882,0.12,-14.0,97690.0,-1.8681736,-1.476305
50.0,2021-01-03 02:00:00,276.03183,0.21,5.0,97640.0,-2.550352,-0.9508648
51.0,2021-01-03 03:00:00,276.0536,0.21,7.0,97540.0,-2.5416222,-0.796608
52.0,2021-01-03 04:00:00,276.17163,0.2,8.0,97490.0,-2.369897,-1.2271347
53.0,2021-01-03 05:00:00,276.15723,0.22,13.0,97380.0,-2.3868732,-1.49086
54.0,2021-01-03 06:00:00,276.0151,0.29,18.0,97240.0,-3.1596117,-2.1075745
55.0,2021-01-03 07:00:00,274.94095,0.15,-5.0,97200.0,-1.6209784,-1.4423695
56.0,2021-01-03 08:00:00,275.24994,0.09,-2.0,97260.0,-0.042181015,-1.4056101
57.0,2021-01-03 09:00:00,275.52252,0.11,-2.0,97250.0,-0.64132404,-1.5126514
58.0,2021-01-03 10:00:00,275.9151,0.17,12.0,97170.0,-1.5176687,-1.4848394
59.0,2021-01-03 11:00:00,275.5803,0.08,-1.0,97090.0,-0.59640884,-1.1157932
60.0,2021-01-03 12:00:00,275.85602,0.01,0.0,97030.0,-0.123143196,-0.46513748
61.0,2021-01-03 13:00:00,276.14133,0.1,0.0,97050.0,-0.16999245,-1.3509903
62.0,2021-01-03 14:00:00,276.41727,0.04,0.0,97030.0,0.7146044,0.30734634
63.0,2021-01-03 15:00:00,276.55194,0.14,-1.0,97070.0,1.943574,0.36312103
64.0,2021-01-03 16:00:00,276.97742,0.22,15.0,97100.0,2.8165255,0.3622589
65.0,2021-01-03 17:00:00,276.45288,0.32,5.0,97110.0,4.1357994,0.6289215
66.0,2021-01-03 18:00:00,276.63666,0.35,4.0,97120.0,4.4617558,1.080616
67.0,2021-01-03 19:00:00,277.55658,0.29,31.0,97150.0,3.5649786,1.2703018
68.0,2021-01-03 20:00:00,276.7272,0.29,-6.0,97240.0,3.752718,1.1581869
69.0,2021-01-03 21:00:00,277.10156,0.08,-3.0,97220.0,1.4431009,-0.0013494492
70.0,2021-01-03 22:00:00,276.9256,0.13,-5.0,97300.0,1.937953,0.3933878
71.0,2021-01-03 23:00:00,276.5441,0.09,-3.0,97320.0,1.3747072,0.45771885
72.0,2021-01-04 00:00:00,272.2486,0.07,-9.0,97390.0,2.2121181,0.42339897
73.0,2021-01-04 01:00:00,274.94568,0.06,-4.0,97440.0,1.5549526,0.9433861
74.0,2021-01-04 02:00:00,275.1072,0.13,-12.0,97460.0,2.1926308,0.721611
75.0,2021-01-04 03:00:00,275.0987,0.17,-13.0,97470.0,2.3143597,1.2036343
76.0,2021-01-04 04:00:00,275.07385,0.23,-17.0,97470.0,3.1881971,0.4713993
77.0,2021-01-04 05:00:00,274.31287,0.09,-7.0,97450.0,1.9701624,-0.040122986
78.0,2021-01-04 06:00:00,275.21368,0.1,-2.0,97420.0,1.3793688,0.5272026
79.0,2021-01-04 07:00:00,275.4488,0.12,7.0,97440.0,1.3195629,0.45007324
80.0,2021-01-04 08:00:00,274.94366,0.14,0.0,97480.0,1.8760033,0.09352684
81.0,2021-01-04 09:00:00,275.36493,0.14,7.0,97500.0,1.7414379,0.32131195
82.0,2021-01-04 10:00:00,274.7658,0.13,-1.0,97530.0,1.8395786,0.03558159
83.0,2021-01-04 11:00:00,274.79758,0.11,2.0,97560.0,1.3835526,0.059577942
84.0,2021-01-04 12:00:00,274.6955,0.13,3.0,97610.0,1.7032242,0.13064766
85.0,2021-01-04 13:00:00,274.58295,0.09,-1.0,97630.0,1.3423729,0.25720787
86.0,2021-01-04 14:00:00,275.19458,0.14,13.0,97660.0,1.5732403,0.37205124
87.0,2021-01-04 15:00:00,275.12054,0.12,11.0,97670.0,1.3442478,-0.2755432
88.0,2021-01-04 16:00:00,275.57947,0.05,14.0,97600.0,0.402874,-0.009468079
89.0,2021-01-04 17:00:00,275.6266,0.05,7.0,97530.0,0.2596588,0.447464
90.0,2021-01-04 18:00:00,275.45947,0.1,2.0,97420.0,0.66487885,1.0435371
91.0,2021-01-04 19:00:00,275.34277,0.2,8.0,97390.0,2.158186,1.3724937
92.0,2021-01-04 20:00:00,275.95938,0.05,19.0,97390.0,0.391222,0.0681324
93.0,2021-01-04 21:00:00,275.33374,0.1,2.0,97410.0,1.044775,0.7612667
94.0,2021-01-04 22:00:00,274.5428,0.05,-1.0,97420.0,0.95360756,0.5138073
95.0,2021-01-04 23:00:00,274.23502,0.08,-2.0,97410.0,0.99858475,0.9555836
96.0,2021-01-05 00:00:00,272.12445,0.03,-2.0,97410.0,1.0735703,0.5324936
