Unnamed: 0,time,t,fricv,shtfl,sp,u10,v10
0.0,2021-01-01 00:00:00,272.05746,0.03,-2.0,99550.0,-0.53331375,-1.0799541
1.0,2021-01-01 01:00:00,272.75,0.01,0.0,99640.0,-0.36439705,-0.2122078
2.0,2021-01-01 02:00:00,273.2119,0.09,-3.0,99690.0,-1.151844,-0.59357643
3.0,2021-01-01 03:00:00,273.07693,0.11,-3.0,99700.0,-1.4482651,-0.51589966
4.0,2021-01-01 04:00:00,273.0324,0.11,-1.0,99720.0,-1.0883522,-0.9393425
5.0,2021-01-01 05:00:00,272.8548,0.15,-1.0,99710.0,-1.4615326,-1.1246338
6.0,2021-01-01 06:00:00,272.7732,0.16,0.0,99720.0,-1.8059044,-0.7843685
7.0,2021-01-01 07:00:00,272.48444,0.2,-3.0,99710.0,-2.3733044,-0.6005001
8.0,2021-01-01 08:00:00,272.49182,0.23,4.0,99680.0,-2.5863323,-0.9972687
9.0,2021-01-01 09:00:00,272.49713,0.24,4.0,99710.0,-2.8247738,-0.1171875
10.0,2021-01-01 10:00:00,272.24054,0.24,-2.0,99600.0,-2.74469,-1.0982723
11.0,2021-01-01 11:00:00,272.10336,0.26,0.0,99540.0,-2.91922,-1.0505695
12.0,2021-01-01 12:00:00,272.26074,0.24,-9.0,99520.0,-2.7543373,-1.0443516
13.0,2021-01-01 13:00:00,272.71466,0.26,-3.0,99470.0,-2.9505463,-1.0929775
14.0,2021-01-01 14:00:00,273.02765,0.32,4.0,99380.0,-3.7534313,-0.40252972
15.0,2021-01-01 15:00:00,273.54507,0.25,-2.0,99340.0,-3.0678883,0.17744446
16.0,2021-01-01 16:00:00,274.54773,0.3,26.0,99180.0,-3.455904,-0.75717735
17.0,2021-01-01 17:00:00,274.6563,0.29,17.0,99060.0,-3.3537579,-0.43116665
18.0,2021-01-01 18:00:00,275.04193,0.34,14.0,98850.0,-3.8795986,0.8619728
19.0,2021-01-01 19:00:00,275.3399,0.33,25.0,98630.0,-3.1279955,-2.1423912
20.0,2021-01-01 20:00:00,274.5386,0.36,-19.0,98480.0,-4.392194,-0.12879086
21.0,2021-01-01 21:00:00,274.33167,0.29,-27.0,98310.0,-3.6200294,-1.1317186
22.0,2021-01-01 22:00:00,274.55823,0.21,-16.0,98150.0,-2.841591,0.2158413
23.0,2021-01-01 23:00:00,274.289,0.17,-18.0,98070.0,-0.2922802,-2.5917606
24.0,2021-01-02 00:00:00,272.1895,0.04,-5.0,98040.0,-0.115324974,-1.4329758
25.0,2021-01-02 01:00:00,272.74384,0.07,-10.0,97920.0,-1.2303123,-1.9230013
26.0,2021-01-02 02:00:00,273.06592,0.06,-8.0,97720.0,-0.7775068,-1.8653574
