time,t,fricv,shtfl,sp,u10,v10
2020-11-01 00:00:00,272.039,0.05,-5.0,101660.0,-1.4268007,1.0196648
2020-11-01 01:00:00,272.67926,0.04,-3.0,101630.0,-1.4546242,0.43034744
2020-11-01 02:00:00,272.81604,0.04,-2.0,101590.0,-1.5770922,-0.16039085
2020-11-01 03:00:00,272.81128,0.05,-3.0,101480.0,-1.7871981,-0.16195107
2020-11-01 04:00:00,273.59564,0.07,-5.0,101440.0,-1.9381828,0.18458748
2020-11-01 05:00:00,273.49997,0.06,-5.0,101370.0,-2.000042,0.005702972
2020-11-01 06:00:00,273.66333,0.05,-3.0,101260.0,-1.6469622,0.5535755
2020-11-01 07:00:00,274.15363,0.07,-5.0,101220.0,-1.7209339,1.0176926
2020-11-01 08:00:00,274.60077,0.15,-14.0,101130.0,-2.224678,0.9796543
2020-11-01 09:00:00,274.2787,0.08,-8.0,101050.0,-2.042942,0.70758057
2020-11-01 10:00:00,274.37555,0.12,-14.0,100970.0,-2.4128952,0.13404465
2020-11-01 11:00:00,274.5624,0.13,-15.0,100830.0,-2.4798737,0.17028809
2020-11-01 12:00:00,275.0807,0.11,-13.0,100720.0,-2.228447,0.76488876
2020-11-01 13:00:00,277.85632,0.2,11.0,100630.0,-1.848177,0.9375744
2020-11-01 14:00:00,281.13788,0.25,44.0,100500.0,-1.867281,1.7479439
2020-11-01 15:00:00,283.81396,0.35,70.0,100340.0,-1.567316,3.3143215
2020-11-01 16:00:00,285.6444,0.41,80.0,100120.0,-1.7605057,4.0102615
2020-11-01 17:00:00,286.30875,0.45,80.0,99920.0,-1.6315184,4.543392
2020-11-01 18:00:00,285.76727,0.43,60.0,99810.0,-1.4669552,4.4427643
2020-11-01 19:00:00,284.29758,0.35,60.0,99640.0,-2.2799187,2.9617596
2020-11-01 20:00:00,282.9778,0.38,10.0,99470.0,-2.90442,3.1000118
2020-11-01 21:00:00,282.3247,0.31,-20.0,99290.0,-2.866456,2.3455868
2020-11-01 22:00:00,282.23328,0.09,-10.0,99170.0,-1.6954956,1.3917675
2020-11-01 23:00:00,282.61325,0.03,0.0,99070.0,-0.33934975,1.2564812
2020-11-02 00:00:00,282.19385,0.21,-22.0,99070.0,2.7162876,1.2159367
2020-11-02 01:00:00,281.65448,0.57,-40.0,99110.0,5.8483677,-3.0355911
2020-11-02 02:00:00,278.95404,0.43,-59.0,99120.0,4.6871166,-2.214017
2020-11-02 03:00:00,277.7799,0.28,-40.0,99080.0,3.5216427,-1.5121317
2020-11-02 04:00:00,277.25336,0.35,-50.0,99070.0,4.2071056,-1.1943502
2020-11-02 05:00:00,276.69003,0.45,-60.0,99070.0,5.255888,-0.97426987
2020-11-02 06:00:00,275.38287,0.52,-80.0,99020.0,6.0182114,-1.1558943
2020-11-02 07:00:00,274.6466,0.34,-60.0,98990.0,4.3393574,-1.0767918
2020-11-02 08:00:00,274.36664,0.37,-70.0,98950.0,4.62516,-0.61218166
2020-11-02 09:00:00,274.18652,0.26,-40.0,98879.68,3.7030983,0.38776875
2020-11-02 10:00:00,274.07257,0.39,-70.0,98870.0,4.678116,1.3981934
2020-11-02 11:00:00,274.20474,0.39,-70.0,98870.0,4.7241077,1.1575432
2020-11-02 12:00:00,274.92508,0.46,-60.0,98970.0,5.4907,0.13498306
2020-11-02 13:00:00,276.32892,0.56,-10.0,99080.0,6.409769,-0.69082165
2020-11-02 14:00:00,277.09137,0.74,50.0,99200.0,7.4258747,-3.9242802
2020-11-02 15:00:00,278.3678,0.78,110.0,99250.0,8.02184,-3.3571367
2020-11-02 16:00:00,279.43762,0.82,160.0,99260.0,8.597559,-3.2728777
2020-11-02 17:00:00,279.42133,0.81,160.0,99290.0,8.531691,-2.7728462
2020-11-02 18:00:00,279.12787,0.81,140.0,99350.0,8.729589,-2.5314531
2020-11-02 19:00:00,279.35342,0.64,140.0,99490.0,6.934353,-1.6429672
2020-11-02 20:00:00,278.1524,0.61,70.0,99520.0,6.4879904,-2.0695534
2020-11-02 21:00:00,276.1816,0.59,-20.0,99570.0,6.530368,-1.846323
2020-11-02 22:00:00,274.30374,0.44,-70.0,99620.0,5.200165,-1.2353373
2020-11-02 23:00:00,273.8981,0.28,-50.0,99670.0,3.724945,-1.3834562
2020-11-03 00:00:00,273.98233,0.28,-60.0,99660.0,4.0534945,-0.34683895
2020-11-03 01:00:00,274.01825,0.2,-40.0,99640.0,3.325159,-0.21669483
2020-11-03 02:00:00,274.23877,0.35,-70.0,99570.0,4.531126,0.5566969
2020-11-03 03:00:00,274.26135,0.17,-20.0,99520.0,2.888111,0.53560543
2020-11-03 04:00:00,274.13824,0.04,0.0,99440.0,1.6118336,0.4653902
2020-11-03 05:00:00,273.87643,0.04,0.0,99330.0,1.4156694,0.49731827
2020-11-03 06:00:00,273.49313,0.04,-5.0,99220.0,1.4302101,0.6796398
2020-11-03 07:00:00,273.97766,0.16,-29.0,99140.0,2.7382402,1.4597597
2020-11-03 08:00:00,274.76306,0.27,-50.0,99100.0,3.2295141,2.1433983
2020-11-03 09:00:00,275.11652,0.32,-60.0,99080.0,3.5458832,2.4482908
2020-11-03 10:00:00,275.42987,0.28,-60.0,99140.0,3.8654165,1.4564228
2020-11-03 11:00:00,276.77637,0.18,-27.0,99200.0,2.88031,0.83362293
2020-11-03 12:00:00,277.84235,0.23,-36.0,99380.0,3.3228416,-0.5363178
