,time,t,fricv,shtfl,sp,u10,v10
0,2021-02-01 00:00:00,266.8001,0.18,-2.0,101760.0,0.46525192,-2.1408825
1,2021-02-01 01:00:00,266.62097,0.08,-2.0,101750.0,0.8577213,-1.6093941
2,2021-02-01 02:00:00,265.9701,0.22,-8.0,101680.0,0.73706627,-2.7743177
3,2021-02-01 03:00:00,266.2881,0.27,0.0,101600.0,-0.3484745,-3.3107252
4,2021-02-01 04:00:00,266.2052,0.26,-2.0,101530.0,0.47638702,-3.2715015
5,2021-02-01 05:00:00,265.80756,0.3,-9.0,101540.0,0.9703579,-3.599742
6,2021-02-01 06:00:00,265.5526,0.32,-3.0,101430.0,0.9231396,-3.8460827
7,2021-02-01 07:00:00,265.3649,0.32,-7.0,101400.0,0.58156204,-3.9015846
8,2021-02-01 08:00:00,265.74957,0.34,-1.0,101320.0,0.8244629,-4.046299
9,2021-02-01 09:00:00,266.12277,0.36,-4.0,101270.0,1.1381454,-4.237712
10,2021-02-01 10:00:00,265.9332,0.35,-5.0,101230.0,0.8613224,-4.1313496
11,2021-02-01 11:00:00,266.18372,0.35,-10.0,101180.0,1.3762054,-4.0879917
12,2021-02-01 12:00:00,266.38507,0.38,-15.0,101160.0,0.87716675,-4.5424767
13,2021-02-01 13:00:00,266.71487,0.41,10.0,101110.0,1.2068977,-4.7854004
14,2021-02-01 14:00:00,267.74857,0.4,-1.0,101050.0,1.2481327,-4.711525
15,2021-02-01 15:00:00,268.83298,0.44,11.0,101020.0,0.6990166,-5.1886063
16,2021-02-01 16:00:00,269.62115,0.47,16.0,100930.0,-0.63389206,-5.5884113
17,2021-02-01 17:00:00,269.91632,0.47,34.0,100820.0,-0.19236374,-5.6320763
18,2021-02-01 18:00:00,270.4367,0.52,27.0,100720.0,-0.4168949,-6.1803856
19,2021-02-01 19:00:00,271.17017,0.52,31.0,100580.0,-0.51267624,-6.1523438
20,2021-02-01 20:00:00,270.96417,0.49,17.0,100550.0,-0.67552185,-5.8325233
21,2021-02-01 21:00:00,270.69244,0.52,13.0,100470.0,0.07369995,-6.1414948
22,2021-02-01 22:00:00,270.36496,0.56,-7.0,100410.0,-0.44875526,-6.677387
23,2021-02-01 23:00:00,270.462,0.58,-18.0,100340.0,-0.6752014,-6.944229
24,2021-02-02 00:00:00,270.60516,0.57,-4.0,100220.0,0.28980446,-6.8230457
25,2021-02-02 01:00:00,270.8322,0.58,-18.0,100110.0,0.5758209,-6.993391
26,2021-02-02 02:00:00,270.92065,0.62,-14.0,100020.0,1.2398319,-7.306917
27,2021-02-02 03:00:00,270.27145,0.62,-21.0,99950.0,1.2496262,-7.324518
28,2021-02-02 04:00:00,270.36542,0.6,-13.0,99820.0,1.7353401,-7.0651226
29,2021-02-02 05:00:00,269.73218,0.54,-20.0,99710.0,1.3514938,-6.3190746
30,2021-02-02 06:00:00,270.24316,0.54,-12.0,99670.0,1.500515,-6.3913307
31,2021-02-02 07:00:00,269.90012,0.63,-13.0,99590.0,1.2713795,-7.396223
32,2021-02-02 08:00:00,269.70746,0.61,-24.0,99570.0,1.1592236,-7.286131
33,2021-02-02 09:00:00,269.68442,0.56,-20.0,99520.0,0.69532776,-6.698263
34,2021-02-02 10:00:00,269.90186,0.61,-23.0,99450.0,1.1058712,-7.3050575
35,2021-02-02 11:00:00,269.81525,0.62,-19.0,99440.0,1.2439232,-7.365835
36,2021-02-02 12:00:00,270.1584,0.6,-18.0,99440.0,0.8432312,-7.1582355
37,2021-02-02 13:00:00,270.01953,0.57,-13.0,99370.0,1.4483261,-6.6701374
38,2021-02-02 14:00:00,269.96527,0.55,-10.0,99320.0,1.6342621,-6.386009
39,2021-02-02 15:00:00,270.6687,0.51,-8.0,99280.0,1.0069313,-6.0940914
40,2021-02-02 16:00:00,272.6178,0.53,34.0,99220.0,1.3767643,-6.113165
41,2021-02-02 17:00:00,271.72525,0.52,3.0,99160.0,0.97317696,-6.173502
42,2021-02-02 18:00:00,272.06494,0.57,-2.0,99100.0,0.87480545,-6.7599735
43,2021-02-02 19:00:00,272.68784,0.59,10.0,99040.0,1.681879,-6.884409
44,2021-02-02 20:00:00,272.24652,0.57,-7.0,98990.0,1.4808922,-6.660988
45,2021-02-02 21:00:00,271.45804,0.55,-19.0,98960.0,1.3252163,-6.4892635
46,2021-02-02 22:00:00,271.24384,0.53,-25.0,98980.0,1.0889549,-6.337248
47,2021-02-02 23:00:00,270.92984,0.5,-26.0,99000.0,1.1783218,-5.9447575
48,2021-02-03 00:00:00,270.34827,0.57,-33.0,99010.0,1.2773132,-6.7176437
49,2021-02-03 01:00:00,268.82452,0.38,-46.0,99020.0,1.1545544,-4.619528
50,2021-02-03 02:00:00,268.1046,0.48,-64.0,99020.0,1.676012,-5.626566
51,2021-02-03 03:00:00,268.93683,0.51,-53.0,98980.0,1.4156532,-6.164116
52,2021-02-03 04:00:00,269.12735,0.5,-60.0,98980.0,1.7924042,-5.8869724
53,2021-02-03 05:00:00,268.64856,0.52,-72.0,99010.0,1.603859,-6.195465
54,2021-02-03 06:00:00,269.27698,0.53,-65.0,98990.0,2.0463257,-6.2365646
55,2021-02-03 07:00:00,270.42847,0.4,-24.0,98980.0,1.9468269,-4.5100193
56,2021-02-03 08:00:00,269.40457,0.24,-24.0,98990.0,1.6395092,-2.6593037
