time,t,fricv,shtfl,sp,u10,v10
2021-03-01 00:00:00,280.85873,0.12,-13.0,96180.0,0.49433994,-2.2468662
2021-03-01 01:00:00,281.12457,0.07,-4.0,96160.0,1.4744568,-0.5325737
2021-03-01 02:00:00,281.19745,0.13,-10.0,96140.0,1.9728756,-1.0278187
2021-03-01 03:00:00,281.7579,0.06,-4.0,96080.0,-0.9264755,-1.3411961
2021-03-01 04:00:00,281.84656,0.01,-1.0,96120.0,0.2031231,0.42915344
2021-03-01 05:00:00,281.71112,0.13,-24.0,96030.0,-0.9124508,2.836403
2021-03-01 06:00:00,282.92676,0.06,-5.0,96000.0,0.8830414,1.673275
2021-03-01 07:00:00,282.15433,0.1,-15.0,95940.0,1.2978897,2.3501759
2021-03-01 08:00:00,283.2021,0.26,-49.0,95940.0,3.1356316,2.6055183
2021-03-01 09:00:00,283.6274,0.14,-13.0,95920.0,1.0407715,2.2440262
2021-03-01 10:00:00,283.78677,0.23,-20.0,95920.0,2.655655,2.0573025
2021-03-01 11:00:00,281.87006,0.39,-60.0,95870.0,5.2476425,-1.7594624
2021-03-01 12:00:00,279.0949,0.29,10.0,96150.0,3.685131,-0.61470985
2021-03-01 13:00:00,277.76266,0.28,10.0,96290.0,3.5844498,-0.7333603
2021-03-01 14:00:00,276.91403,0.48,10.0,96360.0,5.9862022,-2.1817226
2021-03-01 15:00:00,276.39542,0.45,0.0,96430.0,5.700432,-1.9653606
2021-03-01 16:00:00,276.4995,0.43,0.0,96450.0,5.727854,-1.1222095
2021-03-01 17:00:00,276.68707,0.36,0.0,96490.0,4.7492695,-0.6531544
2021-03-01 18:00:00,277.83136,0.54,10.0,96360.0,7.174326,-0.18748474
2021-03-01 19:00:00,279.1739,0.73,65.0,96350.0,9.503742,-1.8619728
2021-03-01 20:00:00,278.74905,0.63,40.0,96450.0,8.126593,-1.6557941
2021-03-01 21:00:00,276.9428,0.66,-30.0,96520.0,8.691109,-1.7905312
2021-03-01 22:00:00,275.73172,0.54,-29.0,96680.0,6.7642517,-2.65942
2021-03-01 23:00:00,274.70282,0.38,-54.0,96750.0,5.2761574,-0.8065014
2021-03-02 00:00:00,273.78662,0.58,-9.0,96940.0,7.6288795,-1.3593588
2021-03-02 01:00:00,272.84528,0.33,-31.0,96970.0,4.35841,-1.4915781
2021-03-02 02:00:00,273.10767,0.52,-10.0,97100.0,6.0417805,-3.4069977
2021-03-02 03:00:00,272.39172,0.57,1.0,97150.0,6.188387,-4.438614
2021-03-02 04:00:00,272.0547,0.55,24.0,97240.0,6.3707256,-3.589982
2021-03-02 05:00:00,271.96082,0.5,40.0,97290.0,5.5908012,-3.5820255
2021-03-02 06:00:00,271.56573,0.48,60.0,97390.0,5.4252586,-3.2475662
2021-03-02 07:00:00,271.20865,0.46,60.0,97510.0,5.375889,-2.840495
2021-03-02 08:00:00,271.08276,0.44,82.0,97630.0,4.8673515,-2.897766
2021-03-02 09:00:00,270.85352,0.4,100.0,97700.0,4.3906727,-2.7621498
2021-03-02 10:00:00,269.85852,0.37,80.0,97780.0,4.324749,-2.0634394
2021-03-02 11:00:00,266.69635,0.27,10.0,97750.0,3.0785484,-1.8011379
2021-03-02 12:00:00,266.22766,0.28,10.0,97730.0,3.034874,-2.189394
2021-03-02 13:00:00,267.36017,0.3,30.0,97770.0,2.6945133,-2.793419
