,time,t,fricv,gflux,u10,v10
0,2020-10-01 00:00:00,286.9587,0.04,80.0,0.5525713,1.26474
1,2020-10-01 01:00:00,285.87656,0.02,66.0,0.19585133,0.6107292
2,2020-10-01 02:00:00,285.26965,0.04,62.0,0.98021793,1.0118637
3,2020-10-01 03:00:00,284.94916,0.07,62.0,1.2856464,1.5193529
4,2020-10-01 04:00:00,284.8892,0.135,57.0,1.3781595,2.372816
5,2020-10-01 05:00:00,284.7839,0.1,56.0,1.0181122,2.163331
6,2020-10-01 06:00:00,284.2872,0.07,53.0,1.0430574,1.5945206
7,2020-10-01 07:00:00,283.54294,0.04,41.0,0.9194088,1.2042732
8,2020-10-01 08:00:00,282.9434,0.04,41.0,0.6111927,1.4131622
9,2020-10-01 09:00:00,282.9103,0.1,34.0,0.7376003,2.0522995
10,2020-10-01 10:00:00,282.67706,0.05,35.0,1.0337582,1.2865772
11,2020-10-01 11:00:00,282.69855,0.08,34.0,0.8140507,1.9816351
12,2020-10-01 12:00:00,284.5274,0.13,-21.0,1.076457,1.553628
13,2020-10-01 13:00:00,288.17535,0.22,-84.0,2.2684135,2.008438
14,2020-10-01 14:00:00,291.24988,0.25,-108.0,3.0160227,1.5270357
15,2020-10-01 15:00:00,293.3894,0.29,-108.0,3.6642275,1.3554134
16,2020-10-01 16:00:00,294.69662,0.273,-98.0,3.0979586,1.8240938
17,2020-10-01 17:00:00,295.51147,0.299,-83.0,3.3900166,2.144412
18,2020-10-01 18:00:00,295.4975,0.278,-60.0,3.1871262,1.9889727
19,2020-10-01 19:00:00,295.24786,0.222,-50.0,2.4222174,1.7518663
20,2020-10-01 20:00:00,294.34195,0.207,-30.0,1.9373951,2.1461802
21,2020-10-01 21:00:00,292.73822,0.191,15.0,1.7623444,2.45436
22,2020-10-01 22:00:00,290.8474,0.1,48.0,1.1026077,2.1028662
23,2020-10-01 23:00:00,288.04193,0.08,75.0,1.3675432,1.7583647
24,2020-10-02 00:00:00,286.3611,0.085,75.0,1.9367304,1.1833439
25,2020-10-02 01:00:00,285.23474,0.075,59.0,1.886303,1.1456385
26,2020-10-02 02:00:00,284.43094,0.05,63.0,1.7655811,0.6349573
27,2020-10-02 03:00:00,283.46512,0.04,62.0,1.4552555,0.5567579
28,2020-10-02 04:00:00,284.22913,0.03,27.0,1.2023582,0.25504208
29,2020-10-02 05:00:00,282.96823,0.07,40.0,2.251524,0.13480186
30,2020-10-02 06:00:00,283.2844,0.08,46.0,0.28569221,1.8561726
31,2020-10-02 07:00:00,283.8317,0.03,21.0,0.9019604,0.2961111
32,2020-10-02 08:00:00,283.95242,0.04,19.0,0.8451271,0.94384766
33,2020-10-02 09:00:00,283.99536,0.07,22.0,0.535903,1.3876934
34,2020-10-02 10:00:00,284.1065,0.03,26.0,0.92256165,-0.49898338
35,2020-10-02 11:00:00,283.92435,0.08,27.0,0.8621845,1.2282629
36,2020-10-02 12:00:00,284.21063,0.09,11.0,1.0886612,0.75777626
37,2020-10-02 13:00:00,285.367,0.08,-10.0,-0.08713913,-0.8031359
38,2020-10-02 14:00:00,286.4101,0.09,0.0,0.6842699,0.4637947
39,2020-10-02 15:00:00,287.8369,0.123,-77.0,1.2483797,0.24568558
40,2020-10-02 16:00:00,291.24005,0.168,-153.0,0.8285656,1.5421085
41,2020-10-02 17:00:00,292.72632,0.217,-88.0,1.3526306,2.1513681
42,2020-10-02 18:00:00,292.92496,0.234,-44.0,1.6361046,2.4096909
43,2020-10-02 19:00:00,292.6129,0.225,-70.0,2.9278812,0.6540947
44,2020-10-02 20:00:00,291.74103,0.259,-30.0,3.6832829,-0.007062912
45,2020-10-02 21:00:00,290.39355,0.219,10.0,3.2879972,-0.40171814
46,2020-10-02 22:00:00,288.81656,0.075,31.0,2.0415401,-0.38822556
47,2020-10-02 23:00:00,286.013,0.07,62.0,2.1730728,-0.6739664
48,2020-10-03 00:00:00,284.2786,0.11,60.0,2.474968,-1.0304222
49,2020-10-03 01:00:00,282.96777,0.1,48.0,2.5654345,-0.07486057
50,2020-10-03 02:00:00,282.2446,0.123,52.0,2.751608,-0.077754974
51,2020-10-03 03:00:00,281.39862,0.067,56.0,2.1206236,-0.47754383
52,2020-10-03 04:00:00,280.62866,0.068,57.0,2.2065983,-0.17579174
53,2020-10-03 05:00:00,279.9231,0.04,54.0,1.6962795,-0.48163605
54,2020-10-03 06:00:00,279.3629,0.05,56.0,1.7864599,0.6377926
55,2020-10-03 07:00:00,278.99738,0.05,52.0,1.8940496,0.36482716
56,2020-10-03 08:00:00,278.76932,0.08,46.0,2.248867,0.21623039
57,2020-10-03 09:00:00,278.4846,0.08,51.0,2.3874454,0.18542004
58,2020-10-03 10:00:00,278.31726,0.06,58.0,1.8046408,1.1423025
59,2020-10-03 11:00:00,277.9036,0.062,58.0,1.2771482,1.8113165
60,2020-10-03 12:00:00,280.13043,0.096,-17.0,1.1007891,1.0784302
61,2020-10-03 13:00:00,284.752,0.131,-89.0,1.5128164,-0.44647694
62,2020-10-03 14:00:00,288.12955,0.195,-96.0,2.153943,-0.8401165
63,2020-10-03 15:00:00,290.51758,0.203,-100.0,2.3331728,-0.062462807
64,2020-10-03 16:00:00,292.19366,0.22,-94.0,2.4528952,-0.68312263
65,2020-10-03 17:00:00,292.84277,0.265,-69.0,3.1462774,-0.8800278
66,2020-10-03 18:00:00,292.91772,0.262,-57.0,3.1787243,-0.97435856
67,2020-10-03 19:00:00,292.1296,0.255,-20.0,3.020255,-1.2845802
68,2020-10-03 20:00:00,290.93484,0.25,4.0,3.1335917,-1.3423786
69,2020-10-03 21:00:00,289.23328,0.23,32.0,2.972786,-1.5478506
70,2020-10-03 22:00:00,287.32996,0.066,46.0,1.6796532,-0.622941
71,2020-10-03 23:00:00,284.24738,0.071,70.0,1.6824389,-1.4768505
72,2020-10-04 00:00:00,282.57007,0.075,60.0,1.5914068,-1.4380198
73,2020-10-04 01:00:00,281.46466,0.052,57.0,1.2543478,-1.5267506
74,2020-10-04 02:00:00,280.8719,0.09,59.0,1.3525352,-1.8811684
75,2020-10-04 03:00:00,280.0085,0.07,62.0,1.2365904,-1.6599979
76,2020-10-04 04:00:00,278.97864,0.03,64.0,0.5004711,-1.2633362
77,2020-10-04 05:00:00,278.2066,0.04,62.0,1.0348492,-1.0387058
78,2020-10-04 06:00:00,277.59402,0.05,56.0,1.4964371,-1.0366268
79,2020-10-04 07:00:00,277.10138,0.04,52.0,1.4559469,-0.734642
80,2020-10-04 08:00:00,276.71634,0.04,52.0,1.127368,-0.90524864
81,2020-10-04 09:00:00,276.3186,0.03,52.0,1.0030403,-0.9162407
