,time,t,fricv,shtfl,sp,u10,v10
0,2021-01-01 00:00:00,273.80746,0.11,-10.0,100590.0,2.0291862,0.60754585
1,2021-01-01 01:00:00,272.9375,0.06,-5.0,100670.0,1.823103,0.1627922
2,2021-01-01 02:00:00,272.7744,0.03,-2.0,100710.0,1.098156,-0.34357643
3,2021-01-01 03:00:00,272.51443,0.02,-1.0,100780.0,0.8017349,-0.26589966
4,2021-01-01 04:00:00,272.0949,0.04,-2.0,100880.0,1.2241478,0.4981575
5,2021-01-01 05:00:00,271.5423,0.02,-1.0,100900.0,0.8509674,0.06286621
6,2021-01-01 06:00:00,269.9607,0.03,-2.0,100970.0,0.9440956,-0.22186852
7,2021-01-01 07:00:00,268.85944,0.03,-2.0,101060.0,0.93919563,-0.7880001
8,2021-01-01 08:00:00,267.99182,0.04,-3.0,101070.0,0.22616768,-1.3097687
9,2021-01-01 09:00:00,266.87213,0.02,-2.0,101100.0,-0.2622738,0.8203125
10,2021-01-01 10:00:00,265.86554,0.03,-3.0,101110.0,-0.30718994,1.1517277
11,2021-01-01 11:00:00,265.72836,0.03,0.0,101130.0,-0.48171997,0.82443047
12,2021-01-01 12:00:00,266.32324,0.01,0.0,101210.0,-0.004337311,0.33064842
13,2021-01-01 13:00:00,267.58966,0.11,13.0,101200.0,0.92445374,0.8445225
14,2021-01-01 14:00:00,270.52765,0.07,10.0,101290.0,-0.5659313,-0.34002972
15,2021-01-01 15:00:00,272.92007,0.11,25.0,101280.0,-1.1303883,-0.38505554
16,2021-01-01 16:00:00,275.67273,0.16,81.0,101230.0,-1.455904,-0.75717735
17,2021-01-01 17:00:00,276.8438,0.13,88.0,101070.0,-1.2287579,-0.05616665
18,2021-01-01 18:00:00,277.29193,0.17,94.0,100990.0,-1.6295986,-0.6380272
19,2021-01-01 19:00:00,276.3399,0.15,57.0,100900.0,-1.5029955,-0.6423912
20,2021-01-01 20:00:00,275.0386,0.15,31.0,100830.0,-0.8296938,-1.4412909
21,2021-01-01 21:00:00,273.64417,0.13,1.0,100750.0,-1.4325294,-1.0067186
22,2021-01-01 22:00:00,273.30823,0.11,-3.0,100680.0,-0.7790909,-1.4716587
23,2021-01-01 23:00:00,272.9765,0.14,-3.0,100560.0,-1.6672802,-1.1542606
24,2021-01-02 00:00:00,273.0645,0.16,-3.0,100540.0,-1.115325,-1.8704758
25,2021-01-02 01:00:00,272.93134,0.26,1.0,100300.0,-2.9803123,-1.6730013
26,2021-01-02 02:00:00,273.00342,0.15,-3.0,100160.0,-1.5275068,-1.5528574
27,2021-01-02 03:00:00,273.03574,0.31,-4.0,100000.0,-1.8732977,-3.772891
28,2021-01-02 04:00:00,273.28452,0.26,3.0,99860.0,-2.4544563,-2.4607258
29,2021-01-02 05:00:00,273.24396,0.25,-3.0,99700.0,-1.5030136,-3.0537348
30,2021-01-02 06:00:00,273.32516,0.26,1.0,99470.0,-1.7712946,-3.0051231
31,2021-01-02 07:00:00,273.24805,0.3,4.0,99280.0,-1.9515676,-3.5417423
32,2021-01-02 08:00:00,273.2566,0.22,0.0,99110.0,-1.0740881,-2.7835188
33,2021-01-02 09:00:00,273.3073,0.19,1.0,98940.0,-0.87864876,-2.3592043
34,2021-01-02 10:00:00,273.4367,0.13,1.0,98770.0,-0.39423943,-1.7315598
35,2021-01-02 11:00:00,273.57156,0.1,-1.0,98750.0,1.4435205,-0.3647995
36,2021-01-02 12:00:00,273.53836,0.1,-3.0,98730.0,1.075798,1.2657986
37,2021-01-02 13:00:00,273.5622,0.17,-9.0,98770.0,1.5288677,2.089221
38,2021-01-02 14:00:00,275.56287,0.24,1.0,98780.0,1.497551,2.9456263
39,2021-01-02 15:00:00,278.055,0.31,4.0,98810.0,3.1781483,2.6473045
40,2021-01-02 16:00:00,280.35123,0.37,0.0,98850.0,4.8670177,0.8911247
41,2021-01-02 17:00:00,280.15012,0.36,-10.0,98890.0,4.740204,-0.9491844
42,2021-01-02 18:00:00,280.307,0.51,26.0,98970.0,6.277397,-2.4046497
43,2021-01-02 19:00:00,279.93066,0.44,19.0,99170.0,5.525812,-1.9693508
44,2021-01-02 20:00:00,278.82178,0.44,-4.0,99300.0,5.235924,-2.7893314
45,2021-01-02 21:00:00,277.31146,0.44,-41.0,99420.0,5.7465134,-2.0298328
46,2021-01-02 22:00:00,275.29706,0.4,-71.0,99570.0,5.4494114,-1.3351994
47,2021-01-02 23:00:00,274.76486,0.47,-70.0,99640.0,5.927781,-2.4596405
48,2021-01-03 00:00:00,273.93427,0.24,-40.0,99690.0,2.8935013,-2.295454
49,2021-01-03 01:00:00,273.01382,0.06,-4.0,99800.0,0.6943264,1.648695
50,2021-01-03 02:00:00,272.84433,0.16,-19.0,99870.0,1.6371479,2.1116352
51,2021-01-03 03:00:00,272.6161,0.16,-18.0,99910.0,2.5833778,-0.734108
52,2021-01-03 04:00:00,272.60913,0.21,-27.0,99880.0,2.880103,-1.4771347
53,2021-01-03 05:00:00,272.34473,0.02,0.0,99930.0,-0.57437325,-0.36586
54,2021-01-03 06:00:00,271.7651,0.02,0.0,99990.0,-0.5971117,-0.29507446
55,2021-01-03 07:00:00,270.75345,0.02,-1.0,100020.0,-0.18347836,-0.69236946
56,2021-01-03 08:00:00,269.43744,0.05,-4.0,99960.0,-0.41718102,-1.7181101
57,2021-01-03 09:00:00,270.14752,0.08,-4.0,99940.0,-0.64132404,-1.5751514
58,2021-01-03 10:00:00,269.6651,0.17,-20.0,99860.0,-1.2676687,-2.4848394
59,2021-01-03 11:00:00,270.5803,0.18,-11.0,99900.0,-1.8464088,-1.9907932
60,2021-01-03 12:00:00,271.04352,0.04,-1.0,100040.0,-0.7481432,-0.7776375
61,2021-01-03 13:00:00,271.57883,0.1,-2.0,100060.0,-1.2949924,-0.7884903
62,2021-01-03 14:00:00,271.97977,0.18,5.0,100080.0,-0.9728956,-2.1301537
63,2021-01-03 15:00:00,272.36444,0.16,4.0,100050.0,-1.493926,-1.511879
64,2021-01-03 16:00:00,272.78992,0.24,18.0,99840.0,-1.3084745,-2.825241
65,2021-01-03 17:00:00,272.89038,0.32,14.0,99620.0,-1.9267006,-3.6835785
66,2021-01-03 18:00:00,273.44916,0.26,11.0,99510.0,-2.2257442,-2.669384
67,2021-01-03 19:00:00,273.74408,0.21,13.0,99490.0,-1.7475214,-1.9796982
68,2021-01-03 20:00:00,273.1647,0.25,-5.0,99450.0,-1.934782,-2.904313
69,2021-01-03 21:00:00,272.85156,0.19,-4.0,99450.0,-1.0568991,-2.4388494
70,2021-01-03 22:00:00,272.9881,0.22,-4.0,99480.0,-0.937047,-2.8566122
71,2021-01-03 23:00:00,272.7316,0.23,-6.0,99480.0,-0.9377928,-3.1047812
72,2021-01-04 00:00:00,272.8736,0.22,-7.0,99520.0,-1.2253819,-2.826601
73,2021-01-04 01:00:00,272.82068,0.24,-6.0,99480.0,-1.3200474,-3.056614
74,2021-01-04 02:00:00,272.9197,0.23,-1.0,99470.0,-1.6198692,-2.653389
75,2021-01-04 03:00:00,272.9737,0.24,-5.0,99430.0,-1.6231403,-2.9213657
76,2021-01-04 04:00:00,273.01135,0.17,-5.0,99440.0,-1.1243029,-2.0911007
77,2021-01-04 05:00:00,272.93787,0.1,-3.0,99420.0,-0.2798376,-1.602623
78,2021-01-04 06:00:00,273.15118,0.1,-3.0,99450.0,0.19186878,-1.6602974
79,2021-01-04 07:00:00,273.2613,0.12,-2.0,99450.0,-0.055437088,-1.7374268
80,2021-01-04 08:00:00,273.38116,0.1,3.0,99460.0,0.25100327,-1.2189732
81,2021-01-04 09:00:00,273.30243,0.05,0.0,99420.0,-0.4460621,-0.74118805
82,2021-01-04 10:00:00,273.4533,0.07,-1.0,99450.0,-0.16042137,-1.1519184
83,2021-01-04 11:00:00,273.54758,0.06,0.0,99490.0,0.13355255,-0.81542206
84,2021-01-04 12:00:00,273.383,0.05,-1.0,99550.0,1.2032242,0.13064766
85,2021-01-04 13:00:00,274.02045,0.11,-2.0,99590.0,1.2173729,1.0697079
86,2021-01-04 14:00:00,274.88208,0.06,15.0,99600.0,-0.30175972,0.43455124
87,2021-01-04 15:00:00,275.24554,0.07,14.0,99630.0,-0.09325218,0.7244568
88,2021-01-04 16:00:00,276.57947,0.1,19.0,99550.0,1.090374,0.24053192
89,2021-01-04 17:00:00,277.8141,0.17,24.0,99470.0,1.1971588,-1.615036
90,2021-01-04 18:00:00,277.52197,0.26,37.0,99390.0,-1.0851212,-3.0814629
91,2021-01-04 19:00:00,276.21777,0.17,16.0,99370.0,-1.279314,-1.6900063
92,2021-01-04 20:00:00,275.70938,0.07,-1.0,99420.0,-0.858778,-0.8068676
93,2021-01-04 21:00:00,275.58374,0.02,0.0,99430.0,0.16977501,-0.4887333
94,2021-01-04 22:00:00,275.1678,0.01,0.0,99430.0,0.26610756,0.013807297
95,2021-01-04 23:00:00,275.17252,0.02,0.0,99420.0,0.68608475,0.14308357
96,2021-01-05 00:00:00,272.12445,0.01,-1.0,99440.0,0.26107025,0.4074936
97,2021-01-05 01:00:00,273.7273,0.02,-1.0,99400.0,0.8195324,0.23526192
98,2021-01-05 02:00:00,274.50333,0.14,-7.0,99400.0,-1.909071,-0.86795044
99,2021-01-05 03:00:00,274.6757,0.12,0.0,99390.0,-0.82878304,-1.3908081
100,2021-01-05 04:00:00,274.6444,0.14,3.0,99370.0,-1.3580341,-1.1313057
101,2021-01-05 05:00:00,274.31845,0.05,2.0,99340.0,0.07411003,-0.49503326
102,2021-01-05 06:00:00,274.30658,0.09,3.0,99310.0,0.42355728,-1.054966
103,2021-01-05 07:00:00,274.1333,0.08,3.0,99330.0,0.12969017,-0.99939156
104,2021-01-05 08:00:00,274.01593,0.05,3.0,99350.0,-0.3699131,-0.32969475
105,2021-01-05 09:00:00,273.95087,0.05,6.0,99330.0,-0.1494255,-0.4339409
106,2021-01-05 10:00:00,273.81375,0.04,5.0,99310.0,-0.3372078,-0.1776886
107,2021-01-05 11:00:00,273.43713,0.08,-1.0,99340.0,-0.5058527,-1.2295704
108,2021-01-05 12:00:00,273.40247,0.02,0.0,99300.0,0.23549747,-0.7031803
109,2021-01-05 13:00:00,273.8277,0.1,2.0,99340.0,0.9119787,-0.86676025
110,2021-01-05 14:00:00,275.08676,0.02,8.0,99370.0,0.14217567,0.13484573
111,2021-01-05 15:00:00,275.51624,0.1,19.0,99360.0,0.98011875,-0.39338112
112,2021-01-05 16:00:00,276.03503,0.06,15.0,99310.0,0.3939886,-0.34986877
113,2021-01-05 17:00:00,276.20264,0.09,18.0,99230.0,-0.56407166,-0.74482536
114,2021-01-05 18:00:00,275.80847,0.11,14.0,99200.0,0.17801476,-1.2550697
115,2021-01-05 19:00:00,276.94904,0.1,15.0,99170.0,0.58600426,-0.9227562
116,2021-01-05 20:00:00,276.3432,0.13,-1.0,99170.0,1.1829815,-1.2895336
117,2021-01-05 21:00:00,275.7958,0.14,-4.0,99210.0,1.3544292,-1.5602703
118,2021-01-05 22:00:00,275.39325,0.08,-4.0,99250.0,1.2331686,-0.92261887
119,2021-01-05 23:00:00,275.62994,0.07,-2.0,99320.0,-0.07828331,-1.2809296
120,2021-01-06 00:00:00,275.38513,0.07,-1.0,99370.0,0.09088135,-0.9683323
121,2021-01-06 01:00:00,275.33105,0.09,0.0,99360.0,-0.44429207,-1.1597977
122,2021-01-06 02:00:00,275.06903,0.1,1.0,99370.0,-0.453763,-1.2994232
123,2021-01-06 03:00:00,274.86557,0.06,-1.0,99350.0,-0.42846298,-0.7513752
124,2021-01-06 04:00:00,274.50946,0.03,1.0,99330.0,-0.22222805,0.09667969
125,2021-01-06 05:00:00,272.8239,0.03,-1.0,99320.0,1.114316,0.24695587
126,2021-01-06 06:00:00,272.72778,0.08,-4.0,99340.0,-0.68054676,1.4040279
127,2021-01-06 07:00:00,273.7516,0.08,10.0,99380.0,-0.86163044,0.2434597
