time,t,fricv,shtfl,sp,u10,v10
10/1/2020 0:00,286.7087,0.07,-6,97050,-0.1974287,2.07724
10/1/2020 1:00,285.93906,0.05,-3,97040,1.7583513,0.36072922
10/1/2020 2:00,286.64465,0.21,-21,97100,-0.39478207,2.7618637
10/1/2020 3:00,287.19916,0.02,0,97140,0.66064644,-0.10564709
10/1/2020 4:00,287.0767,0.097,-5,97240,1.2531595,0.9978161
10/1/2020 5:00,286.4714,0.17,-14,97340,2.3931122,0.97583103
10/1/2020 6:00,284.1622,0.1,-9,97410,0.73055744,1.9695206
10/1/2020 7:00,282.91794,0.09,-5,97480,1.4819088,1.0792732
10/1/2020 8:00,281.9434,0.1,-6,97510,1.4236927,1.2881622
10/1/2020 9:00,280.9728,0.11,-8,97540,0.9876003,1.8647995
10/1/2020 10:00,280.30206,0.04,-2,97570,0.09625816,1.5365772
10/1/2020 11:00,279.76105,0.05,-3,97630,0.37655067,1.7316351
10/1/2020 12:00,280.2774,0.03,-1,97670,-0.23604298,0.99112797
10/1/2020 13:00,284.55035,0.22,28,97690,1.3309135,1.6334381
10/1/2020 14:00,289.12488,0.32,126,97710,2.2660227,2.1520357
10/1/2020 15:00,292.0769,0.422,206,97710,2.6642275,3.2304134
10/1/2020 16:00,294.13412,0.427,250,97680,2.4104586,3.3240938
10/1/2020 17:00,294.51147,0.488,250,97690,3.6400166,3.269412
10/1/2020 18:00,293.9975,0.472,210,97640,4.124626,2.3639727
10/1/2020 19:00,293.93536,0.486,190,97620,4.4222174,2.3143663
10/1/2020 20:00,293.02945,0.438,130,97600,3.687395,2.5211802
10/1/2020 21:00,291.42572,0.317,60,97600,2.7623444,1.64186
10/1/2020 22:00,289.1599,0.207,-1,97610,1.9776077,1.1653662
10/1/2020 23:00,286.29193,0.045,-3,97660,1.6175432,0.44586468
10/2/2020 0:00,284.7361,0.134,-9,97780,1.8117304,-0.9416561
10/2/2020 1:00,283.35974,0.166,-17,97810,-0.17619705,2.5831385
10/2/2020 2:00,283.05594,0.1,-6,97830,-0.17191887,1.5099573
10/2/2020 3:00,281.15262,0.05,-2,97840,0.5177555,1.4942579
10/2/2020 4:00,280.35413,0.05,-2,97850,0.32735825,1.4425421
10/2/2020 5:00,279.46823,0.03,-1,97820,0.25152397,1.0098019
10/2/2020 6:00,278.9094,0.04,-2,97820,0.47319221,1.2936726
10/2/2020 7:00,278.3942,0.09,-8,97800,1.3394604,1.6086111
10/2/2020 8:00,277.88992,0.05,-3,97780,0.7826271,1.5688477
10/2/2020 9:00,278.05786,0.04,-2,97790,0.598403,1.3876934
10/2/2020 10:00,277.919,0.04,-2,97830,0.36006165,1.4385166
10/2/2020 11:00,279.48685,0.15,2,97880,0.6746845,1.4157629
10/2/2020 12:00,280.58563,0.23,8,97960,2.0261612,1.5702763
10/2/2020 13:00,282.742,0.28,60,97990,2.3503609,1.3843641
10/2/2020 14:00,285.5351,0.36,133,98070,3.18427,1.4637947
10/2/2020 15:00,287.4619,0.36,164,98080,3.3108797,0.9331856
10/2/2020 16:00,285.42755,0.338,49,98120,3.2660656,1.4171085
10/2/2020 17:00,287.03882,0.381,50,98120,3.2276306,2.5888681
10/2/2020 18:00,286.86246,0.356,40,98120,3.5736046,1.8471909
10/2/2020 19:00,292.1129,0.385,240,98060,3.2403812,1.6540947
10/2/2020 20:00,290.99103,0.311,140,98050,2.6832829,1.0554371
10/2/2020 21:00,290.08105,0.272,90,98080,2.5379972,0.28578186
10/2/2020 22:00,287.31656,0.204,2,98120,2.1665401,-0.57572556
10/2/2020 23:00,284.138,0.06,-5,98180,1.6730728,-0.9864664
10/3/2020 0:00,282.4661,0.039,-3,98230,0.53746796,-1.3429222
10/3/2020 1:00,280.65527,0.03,-2,98290,0.12793446,-1.1998606
10/3/2020 2:00,279.6821,0.034,-2,98350,-1.1858921,0.48474503
10/3/2020 3:00,278.77362,0.055,-4,98390,-1.6918764,1.0224562
10/3/2020 4:00,278.56616,0.036,-1,98400,-1.1059017,0.82420826
10/3/2020 5:00,277.9231,0.04,-2,98450,-0.5537205,1.330864
10/3/2020 6:00,278.4254,0.04,-1,98470,-0.27604008,0.9502926
