,time,t,fricv,gflux,u10,v10
0,2020-10-01 00:00:00,286.0212,0.21,80.0,-1.0099287,3.07724
1,2020-10-01 01:00:00,285.37656,0.25,70.0,-1.5541487,3.2982292
2,2020-10-01 02:00:00,285.01965,0.11,65.0,0.16771793,2.5118637
3,2020-10-01 03:00:00,284.88666,0.22,82.0,0.53564644,3.394353
4,2020-10-01 04:00:00,284.6392,0.142,82.0,0.6906595,2.685316
5,2020-10-01 05:00:00,284.3464,0.11,79.0,0.45561218,2.475831
6,2020-10-01 06:00:00,284.4122,0.27,76.0,-0.26944256,3.7195206
7,2020-10-01 07:00:00,285.10544,0.23,54.0,0.6694088,2.8292732
8,2020-10-01 08:00:00,284.1934,0.15,66.0,0.3611927,2.6006622
9,2020-10-01 09:00:00,283.4103,0.12,77.0,-0.38739967,2.5522995
10,2020-10-01 10:00:00,282.86456,0.05,79.0,-0.77874184,1.7240772
11,2020-10-01 11:00:00,282.44855,0.05,76.0,-1.2484493,1.6066351
12,2020-10-01 12:00:00,284.0274,0.1,9.0,-0.548543,1.678628
13,2020-10-01 13:00:00,287.17535,0.36,-33.0,2.7684135,2.695938
14,2020-10-01 14:00:00,289.74988,0.4,-60.0,3.3285227,2.3395357
15,2020-10-01 15:00:00,291.8894,0.453,-49.0,3.7892275,2.6679134
16,2020-10-01 16:00:00,292.44662,0.428,-78.0,3.8479586,2.0115938
17,2020-10-01 17:00:00,293.82397,0.452,-49.0,4.2025166,1.706912
18,2020-10-01 18:00:00,293.9975,0.398,-30.0,3.6871262,1.3014727
19,2020-10-01 19:00:00,293.12286,0.453,-10.0,4.6722174,0.0018663406
20,2020-10-01 20:00:00,291.96695,0.363,10.0,3.749895,0.08368015
21,2020-10-01 21:00:00,290.55072,0.346,33.0,3.6998444,-0.23313999
22,2020-10-01 22:00:00,287.2849,0.163,62.0,1.2901077,-2.0221338
23,2020-10-01 23:00:00,285.54193,0.045,59.0,-0.06995678,-1.4916353
24,2020-10-02 00:00:00,283.9861,0.117,59.0,-1.0632696,-2.254156
25,2020-10-02 01:00:00,282.73474,0.049,61.0,-0.30119705,-1.8543615
26,2020-10-02 02:00:00,281.93094,0.01,74.0,-0.35941887,-0.3650427
27,2020-10-02 03:00:00,281.09012,0.02,75.0,-0.5447445,0.6817579
28,2020-10-02 04:00:00,280.41663,0.05,68.0,-1.6726418,0.6300421
29,2020-10-02 05:00:00,279.78073,0.05,59.0,-1.748476,0.19730186
30,2020-10-02 06:00:00,279.2219,0.06,61.0,-2.0893078,0.04367256
31,2020-10-02 07:00:00,278.8942,0.05,59.0,-1.9105396,-0.016388893
32,2020-10-02 08:00:00,279.20242,0.06,45.0,-2.154873,0.81884766
33,2020-10-02 09:00:00,279.55786,0.04,36.0,-1.276597,0.7001934
34,2020-10-02 10:00:00,280.044,0.02,34.0,-0.76493835,0.12601662
35,2020-10-02 11:00:00,279.79935,0.04,47.0,-1.5128155,0.1032629
36,2020-10-02 12:00:00,280.52313,0.12,11.0,-1.5988388,0.57027626
37,2020-10-02 13:00:00,284.1795,0.17,-55.0,-0.46213913,1.1968641
38,2020-10-02 14:00:00,287.5976,0.22,-79.0,1.0592699,1.3387947
39,2020-10-02 15:00:00,289.9619,0.326,-72.0,2.5608797,1.4331856
40,2020-10-02 16:00:00,290.80255,0.433,-49.0,3.5160656,2.4796085
41,2020-10-02 17:00:00,291.16382,0.452,-11.0,4.4151306,1.1513681
42,2020-10-02 18:00:00,288.73746,0.412,7.0,4.5111046,0.47219086
43,2020-10-02 19:00:00,290.4254,0.42,-10.0,4.3028812,0.2790947
44,2020-10-02 20:00:00,289.86603,0.388,-20.0,3.9332829,0.4304371
45,2020-10-02 21:00:00,288.33105,0.311,30.0,3.2254972,0.09828186
46,2020-10-02 22:00:00,285.94156,0.257,47.0,2.8540401,-0.95072556
47,2020-10-02 23:00:00,284.513,0.2,54.0,2.5480728,-0.9864664
48,2020-10-03 00:00:00,283.2786,0.151,70.0,1.099968,-1.7804222
49,2020-10-03 01:00:00,281.90527,0.06,68.0,1.3779345,-1.1373606
50,2020-10-03 02:00:00,281.4946,0.065,84.0,1.3141079,-0.702755
51,2020-10-03 03:00:00,280.33612,0.029,71.0,1.0581236,0.08495617
52,2020-10-03 04:00:00,279.37866,0.01,59.0,0.33159828,0.07420826
53,2020-10-03 05:00:00,278.5481,0.03,67.0,-0.8662205,0.64336395
54,2020-10-03 06:00:00,278.1129,0.02,58.0,0.7239599,0.2627926
55,2020-10-03 07:00:00,280.30988,0.15,22.0,1.5815496,0.052327156
56,2020-10-03 08:00:00,280.64432,0.23,15.0,2.561367,0.028730392
57,2020-10-03 09:00:00,280.6721,0.2,14.0,2.1374454,-0.18957996
58,2020-10-03 10:00:00,280.62976,0.2,8.0,2.1796408,-0.9201975
59,2020-10-03 11:00:00,280.7786,0.188,14.0,1.9021482,-1.0011835
